,clause_text,clause_type,totalwords,totalletters
1340,Any notice required to be given or delivered to the Company under the terms of this Agreement shall be in writing and addressed to the Corporate Secretary of the Company at its principal corporate offices. Any notice required to be given or delivered to Optionee shall be in writing and addressed to Optionee at the address indicated above or to such other address as such party may designate in writing from time to time to the Company. All notices shall be deemed to have been given or delivered upon: personal delivery; three (3) days after deposit in the United States mail by certified or registered mail (return receipt requested); one (1) business day after deposit with any return receipt express courier (prepaid); or one (1) business day after transmission by facsimile.,Notices,131.0,780.0
1341,"All notices and other communications in connection with this Agreement shall be in writing and shall be deemed given if delivered personally, sent via facsimile (with confirmation), mailed by registered or certified mail (return receipt requested) or delivered by an express courier (with confirmation) to the parties at the following addresses (or at such other address for a party as shall be specified by like notice): if to North Fork, to: North Fork Bancorporation, Inc. 275 Broadhollow Road Melville, New York 11747 Attention: Daniel M. Healy, Executive Vice President and Chief Financial Officer Facsimile: (631) 531-2759 with a copy to: Wachtell, Lipton, Rosen & Katz 51 W. 52nd Street, New York, New York 10019 Attention: Edward D. Herlihy, Esq. Facsimile: (212) 403-2000 and if to Capital One, to: Capital One Financial Corporation 1680 Capital One Drive McLean, Virginia 22102 Attention: John G. Finneran, Jr., Executive Vice President and General Counsel Facsimile: (703) 720-1094 with a copy to: Cleary Gottlieb Steen & Hamilton LLP One Liberty Plaza New York, New York 10006 Attention: Victor I. Lewkow, Esq. and Christopher E. Austin, Esq. Facsimile: (212) 225-3999",Notices,184.0,1180.0
1342,"Any and all notices, requests, demands and other communications provided for by this Agreement shall be in writing and shall be effective when delivered in person, consigned to a reputable national courier service or deposited in the United States mail, postage prepaid, registered or certified, and addressed to the Executive at his last known address on the books of the Company or, in the case of the Company, at its principal place of business, attention of the Chair of the Board, or to such other address as either party may specify by notice to the other actually received.",Notices,98.0,580.0
1343,"Any notice, statement or demand authorized by this Agreement to be given or made by the Warrant Agent or by the holder of any Warrant to or on the Company shall be sufficiently given when so delivered if by hand or overnight delivery or if sent by certified mail or private courier service within five (5) days after deposit of such notice, postage prepaid, addressed (until another address is filed in writing by the Company with the Warrant Agent), as follows: Horizon Acquisition Corporation 600 Steamboat Road, Suite 200 Greenwich, CT 06830 Attention: Chief Executive Officer with a copy to: Kirkland & Ellis LLP 601 Lexington Avenue New York, New York 10022 Attention: Christian O. Nagler Wayne E. Williams Any notice, statement or demand authorized by this Agreement to be given or made by the holder of any Warrant or by the Company to or on the Warrant Agent shall be sufficiently given when so delivered if by hand or overnight delivery or if sent by certified mail or private courier service within five (5) days after deposit of such notice, postage prepaid, addressed (until another address is filed in writing by the Warrant Agent with the Company), as follows: Continental Stock Transfer & Trust Company One State Street, 30th Floor New York, NY 10004 Attention: Compliance Department",Notices,218.0,1298.0
1344,For purposes of this Confirmation:,Notices,5.0,34.0
1345,"Any notices required or permitted to be given under the terms of this Agreement shall be sent by certified or registered mail (return receipt requested) or delivered personally or by courier (including a recognized overnight delivery service) or by facsimile and shall be effective five days after being placed in the mail, if mailed by regular United States mail, or upon receipt, if delivered personally or by courier (including a recognized overnight delivery service) or by facsimile, in each case addressed to a party. The addresses for such communications shall be: If to the Company: Midnight Holdings Group, Inc. 22600 Hall Road, Suite 205 Clinton Township, MI 48036 Attention: Chief Executive Officer Telephone: 586-468-8741 Facsimile: 586-468-8768 With a copy to: Reitler Brown & Rosenblatt LLC 800 Third Avenue, 21st Floor New York, NY 10022 Attention: Robert Steven Brown, Esq. Telephone: 212-209-3060 Facsimile: 212-371-5500 If to a Buyer: To the address set forth immediately below such Buyer's name on the signature pages hereto. With copy to: Ballard Spahr Andrews & Ingersoll, LLP 1735 Market Street 51st Floor Philadelphia, Pennsylvania 19103 Attention: Gerald J. Guarcini, Esq. Telephone: 215-864-8625 Facsimile: 215-864-8999 Email: guarcini@ballardspahr.com Each party shall provide notice to the other party of any change in address.",Notices,204.0,1354.0
1346,"All notices, requests, demands and other communications which are required or permitted to be given under this Agreement shall be in writing and shall be deemed to have been given if personally delivered or sent by registered or certified mail, return receipt requested, postage prepaid or by prepaid overnight delivery service:",Notices,51.0,328.0
1347,"All notices, requests, consents and other communications hereunder will be in writing, will be mailed (a) if within the domestic United States by first-class registered or certified airmail, or nationally recognized overnight express courier, postage prepaid, or by facsimile or (b) if delivered from outside the United States, by International Federal Express or facsimile, and will be deemed given (i) if delivered by first-class registered or certified mail domestic, three business days after so mailed, (ii) if delivered by nationally recognized overnight carrier, one business day after so mailed, (iii) if delivered by International Federal Express, two business days after so mailed and (iv) if delivered by facsimile, upon electric confirmation of receipt and will be delivered and addressed as follows:",Notices,121.0,812.0
1348,"Any notice shall be sufficiently given when sent by registered or certified mail to the other party at the address of such party set forth below or at such other address as such party may from time to time specify in writing to the other party. If to the Fund: 82 Devonshire Street Boston, Massachusetts 02109 Attention: Treasurer If to the Company: Farm Bureau Life Insurance Company 5400 University Avenue West Des Moines, Iowa 50266 Attention: Sue Cornick If to the Underwriter: 82 Devonshire Street Boston, Massachusetts 02109 Attention: Treasurer",Notices,90.0,551.0
1349,"All notices, consents, approvals and requests required or permitted hereunder or under any other Loan Document shall be given in writing and shall be effective for all purposes if hand delivered or sent by (a) certified or registered United States mail, postage prepaid, return receipt requested, (b) expedited prepaid overnight delivery service, either commercial or United States Postal Service, with proof of attempted delivery, or by (c) telecopier (with answer back acknowledged provided an additional notice is given pursuant to subsection (b) above), addressed as follows (or at such other address and Person as shall be designated from time to time by any party hereto, as the case may be, in a written notice to the other parties hereto in the manner provided for in this Section): If to Lender: Morgan Stanley Mortgage Capital Holdings LLC 1585 Broadway New York, NY 10036 Attention: George Kok Facsimile No. (212) 507-4859 And: Barclays Bank PLC 745 Seventh Avenue New York, New York 10019 Attention: Sabrina Khabie, Esq. And: Bank of America, N.A. c/o Capital Markets Servicing Group 900 West Trade Street, Suite 650 Mail Code: NC1-026-06-01 Charlotte, North Carolina 28255 Attention: Servicing Manager Facsimile No. (704) 317-4501 With a copy to: Alston & Bird LLP 90 Park Avenue New York, NY 10016 Attn: Meryl P. Diamond Esq. Facsimile No. (212) 922-3947 If to Borrower: c/o Ashford Hospitality Trust 14185 Dallas Parkway, Suite 1100 Dallas, Texas 75254 Attention: Christopher A. Peckham Facsimile No.: (972) 490-9605 With a copy to: Jackson Walker LLP 2323 Ross Avenue, Suite 600 Dallas, Texas 75201 Attention: Cynthia Nelson, Esq. Facsimile No.: (214) 661-6819 A notice shall be deemed to have been given: in the case of hand delivery, at the time of delivery; in the case of registered or certified mail, when delivered or the first attempted delivery on a Business Day; or in the case of expedited prepaid delivery and telecopy, upon the first attempted delivery on a Business Day.",Notices,323.0,1999.0
1350,"Any notice, instruction or other instrument required to be given hereunder may be delivered in person to the offices of the parties as set forth herein during normal business hours or delivered prepaid registered mail or by telex, cable or telecopy to the parties at the following addresses or such other addresses as may be notified by any party from time to time. To any Fund: NUVEEN 333 West Wacker Drive Chicago, Illinois 60606 Attention: Stephen Foy, Vice President Telephone: (312) 917-7956 Facsimile: (312) 917-7725 To the Custodian: STATE STREET BANK AND TRUST COMPANY One Federal Street BO2/2 Boston, Massachusetts 02101 Attention: Louis D. Abruzzi, Jr. Telephone: 617-662-0300 Facsimile: 617- 662-0291 Such notice, instruction or other instrument shall be deemed to have been served in the case of a registered letter at the expiration of five business days after posting, in the case of cable twenty-four hours after dispatch and, in the case of telex, immediately on dispatch and if delivered outside normal business hours it shall be deemed to have been received at the next time after delivery when normal business hours commence and in the case of cable, telex or telecopy on the business day after the receipt thereof. Evidence that the notice was properly addressed, stamped and put into the post shall be conclusive evidence of posting.",Notices,220.0,1354.0
1351,"All notices, demands, requests, or other communications which may be or are required to be given or made by any party to any other party pursuant to this Agreement shall be in writing and shall be hand delivered, mailed by first-class registered or certified mail, return receipt requested, postage prepaid, delivered by overnight air courier, or transmitted by facsimile transmission addressed as follows:",Notices,63.0,406.0
1352,"All notices, requests and other communications provided for or permitted to be given under this Agreement must be in writing and shall be given by personal delivery, by certified or registered United States mail (postage prepaid, return receipt requested), by a nationally recognized overnight delivery service for next day delivery, or by facsimile transmission, as follows (or to such other address as any party may give in a notice given in accordance with the provisions hereof): If to a Stockholder: Greenlight Capital, Inc. 140 E. 45 Street – 24fl. New York, New York 10017 Phone: (212) 973-1900 Fax: 212-973-9219 Attn: Daniel Roitman With a copy to (which does not constitute notice): Akin Gump Strauss Hauer & Feld LLP One Bryant Park New York, New York 10036 Phone: (212) 872-1095 Fax: (212) 872-1002 Attn: Kerry E. Berchem, Esq. If to the Company: BioFuel Energy Corp. 1600 Broadway, Suite 2200 Phone: (303) 640-6500 Fax: (303) 592-8117 Attn: President With a copy to (which does not constitute notice): Cravath, Swaine & Moore LLP 825 Eighth Avenue New York, New York 10019 Phone: (212) 474-1000 Fax: (212) 474-3700 Attn: Craig F. Arcella",Notices,188.0,1149.0
1353,All notices from us will be effective when we have mailed them or delivered them to the appropriate address in the Credit Union’s records. Notices from you will be effective when received by the Credit Union at the address specified in this Agreement. We reserve the right to change the terms and conditions upon which this service is offered. We will mail notice to you at least 21 days before the effective date of any change. Use of this service is subject to existing regulations governing the Credit Union account and any future changes to those regulations.,Notices,97.0,563.0
1354,"Any written notices provided for in this Agreement or the Plan shall be in writing and shall be deemed sufficiently given if either hand delivered or if sent by fax or overnight courier, or by postage paid first class mail. Notices sent by mail shall be deemed received three business days after mailing but in no event later than the date of actual receipt. Notices shall be directed, if to the Participant, at the Participant’s address indicated by the Company’s records, or if to the Company, at the Company’s principal executive office.",Notices,92.0,540.0
1355,"All notices and other communications hereunder shall be in writing and shall be deemed given if delivered personally or by commercial delivery service, or sent via telecopy (receipt confirmed) to the parties at the following addresses or telecopy numbers (or at such other address or telecopy numbers for a party as shall be specified by like notice):",Notices,57.0,351.0
1356,"All notices required or permitted to be given under this Agreement shall be given in writing and delivered by personal delivery, by postage prepaid mail, or by facsimile machine or a similar means of same day delivery (with a confirming copy by mail). All notices to us shall be given or sent to us at our offices located at 82 Devonshire Street, Mail Zone L12A, Boston, Massachusetts 02109, Attn: Bank Wholesale Market. All notices to you shall be given or sent to you at the address specified by you below. Each of us may change the address to which notices shall be sent by giving notice to the other party in accordance with this paragraph 12. 13.",Notices,117.0,651.0
1357,"Any notice required to be given under this Agreement shall be given in writing, and shall be effective when actually delivered, when actually received by telefacsimile (unless otherwise required by law), when deposited with a nationally recognized overnight courier, or, if mailed, when deposited in the United States mail, as first class, certified or registered mail postage prepaid, directed to the addresses shown near the beginning of this Agreement. Any party may change its address for notices under this Agreement by giving formal written notice to the other parties, specifying that the purpose of the notice is to change the party's address. For notice purposes, Borrower agrees to keep Lender informed at all times of Borrower's current address. Unless otherwise provided or required by law, if there is more than one Borrower, any notice given by Lender to any Borrower is deemed to be notice given to all Borrowers.",Notices,149.0,928.0
1358,"All notices, requests, consents, claims, demands, waivers and other communications hereunder shall be in writing and shall be deemed to have been given (a) when delivered by hand (with written confirmation of receipt); (b) when received by the addressee if sent by a nationally recognized overnight courier (receipt requested); (c) on the date sent by facsimile or e-mail of a PDF document (with confirmation of transmission) if sent during normal business hours of the recipient, and on the next Business Day if sent after normal business hours of the recipient or (d) on the third day after the date mailed, by certified or registered mail, return receipt requested, postage prepaid. Such communications must be sent to the respective parties at the following addresses (or at such other address for a party as shall be specified in a notice given in accordance with this Section 10.02): If to the Partnership: Matrix Oil Management Corporation 104 W. Anapamu Street, Suite C Santa Barbara, CA 93101 E-mail: jjordan@matrixoil.com Attention: Johnny Jordan, Executive Vice President with a copy to: Porter Hedges LLP 1000 Main Street, 36th Floor Houston, Texas 77002 E-mail: edelpozo@porterhedges.com Attention: Ephraim del Pozo If to Royale or Merger Sub: Royale Energy, Inc. 1870 Cordell Court, Suite 210 El Cajon, California 92020 Email: Jonathan@royl.com Attention: Jonathan Gregory, Chief Executive Officer with a copy to: Strasburger & Price, LLP 720 Brazos Street, Suite 700 Austin, Texas 78701 Email: lee.polson@strasburger.com Attention: Lee Polson",Notices,239.0,1557.0
1359,"All demands, requests, notices and other communications required or permitted to be given under this Warrant shall be in writing and shall be deemed to have been duly given if delivered personally or sent by United States certified or registered first class mail, postage prepaid, to the parties hereto at the following addresses or at such other address as any party hereto shall hereafter specify by notice to the other party hereto:",Notices,72.0,435.0
1360,"All notices, requests, consents and other communications hereunder shall be in writing, shall be addressed to the receiving party’s address set forth herein or to such other address as a party may designate by notice hereunder, and shall be either (a) delivered by hand, (b) sent by overnight courier, or (c) sent by certified mail, return receipt requested, postage prepaid. All notices, requests, consents and other communications hereunder shall be deemed to have been given either (i) if by hand, at the time of the delivery thereof to the receiving party at the address of such party set forth above, (ii) if sent by overnight courier, on the next business day following the day such notice is delivered to the courier service, or (iii) if sent by certified mail, on the fifth business day following the day such mailing is made.",Notices,141.0,834.0
1361,"Any notice or communication under this Agreement must be in writing and given by (i) deposit in the United States mail, addressed to the party to be notified, postage prepaid and registered or certified with return receipt requested, (ii) delivery in person or by courier service providing evidence of delivery, or (iii) transmission by hand delivery, electronic mail, telecopy, telegram or facsimile. Each notice or communication that is mailed, delivered, or transmitted in the manner described above shall be deemed sufficiently given, served, sent, and received, in the case of mailed notices, on the third business day following the date on which it is mailed and, in the case of notices delivered by courier service, hand delivery, electronic mail, telecopy, telegram or facsimile, at such time as it is delivered to the addressee (with the delivery receipt or the affidavit of messenger) or at such time as delivery is refused by the addressee upon presentation. Any notice or communication under this Agreement must be addressed, if to the Company, to: 640 Fifth Avenue, 12th Floor, New York, NY 10019, Attention: Michael Klein, and, if to any Holder, at such Holder’s address or facsimile number as set forth in the Company’s books and records. Any party may change its address for notice at any time and from time to time by written notice to the other parties hereto, and such change of address shall become effective thirty (30) days after delivery of such notice as provided in this Section 5.1.",Notices,249.0,1508.0
1362,"Any notice or communication under this Agreement must be in writing and given by (i) deposit in the United States mail, addressed to the party to be notified, postage prepaid and registered or certified with return receipt requested, (ii) delivery in person or by courier service providing evidence of delivery, or (iii) transmission by hand delivery, electronic mail, telecopy, telegram or facsimile. Each notice or communication that is mailed, delivered, or transmitted in the manner described above shall be deemed sufficiently given, served, sent, and received, in the case of mailed notices, on the third business day following the date on which it is mailed and, in the case of notices delivered by courier service, hand delivery, electronic mail, telecopy, telegram or facsimile, at such time as it is delivered to the addressee (with the delivery receipt or the affidavit of messenger) or at such time as delivery is refused by the addressee upon presentation. Any notice or communication under this Agreement must be addressed, if to the Company, to: 1601 Washington Avenue, Suite 800, Miami Beach, FL 33139, Attention: Matthew Walters, with copy to; Kirkland & Ellis LLP, 601 Lexington Avenue, New York, New York 10022, Attention: Christian O. Nagler, and, if to any Holder, at such Holder’s address or facsimile number as set forth in the Company’s books and records. Any party may change its address for notice at any time and from time to time by written notice to the other parties hereto, and such change of address shall become effective thirty (30) days after delivery of such notice as provided in this Section 6.1.",Notices,268.0,1634.0
1363,"Any notice or other document required or permitted to be given or delivered to the Holder shall be delivered or forwarded to the Holder at c/o Mercator Advisory Group, LLC, 555 South Flower Street, Suite 4200, Los Angeles, California 90071, Attention: David F. Firestone (Facsimile No. 213/553-8285), or to such other address or number as shall have been furnished to the Company in writing by the Holder, with a copy to Sheppard Mullin Richter & Hampton LLP, 333 South Hope Street, 48th Floor, Los Angeles, California 90071-1448 Attention David C. Ulich (Facsimile No. 213/620-1398). Any notice or other document required or permitted to be given or delivered to the Company shall be delivered or forwarded to the Company at Mr. Keith Berman, CareDecision Corp., 2660 Townsgate Road, Suite 300, West Lake Village, CA 91361, With a copy to:, Eric S. Hutner, Esq., Law Offices of Eric S. Hutner & Associates, 1065 Avenue of the Americas, Suite 2100, New York, New York 10018, 212-391-9235/FAX: 212-391-9236, or to such other address or number as shall have been furnished to Holder in writing by the Company. All notices, requests and approvals required by this Warrant shall be in writing and shall be conclusively deemed to be given (i) when hand-delivered to the other party, (ii) when received if sent by facsimile at the address and number set forth above; provided that notices given by facsimile shall not be effective, unless either (a) a duplicate copy of such facsimile notice is promptly given by depositing the same in the mail, postage prepaid and addressed to the party as set forth below or (b) the receiving party delivers a written confirmation of receipt for such notice by any other method permitted under this paragraph; and further provided that any notice given by facsimile received after 5:00 p.m. (recipient’s time) or on a non-business day shall be deemed received on the next business day; (iii) five (5) business days after deposit in the United States mail, certified, return receipt requested, postage prepaid, and addressed to the party as set forth below; or (iv) the next business day after deposit with an international overnight delivery service, postage prepaid, addressed to the party as set forth below with next business day delivery guaranteed; provided that the sending party receives confirmation of delivery from the delivery service provider.",Notices,389.0,2385.0
1364,"All notices, demands, and other communications given or delivered under this Agreement shall be in writing and shall be deemed to have been given, (a) when received if given in person, (b) on the date of electronic confirmation of receipt if sent by telex or facsimile, (c) three days after being deposited in the U.S. mail, certified or registered mail, postage prepaid, or (d) one day after being deposited with a reputable overnight courier. Notices, demands, and communications to the Parties shall, unless another address is specified in writing, be sent to the address or facsimile number indicated below: Notices to the Sellers: REMEC, Inc. 3790 Via de la Valle Del Mar, CA 92014 Attention: Chief Executive Officer Facsimile: (858) 847-0265 with a copy to: Heller Ehrman White & McAuliffe LLP 2775 Sand Hill Road Menlo Park, California 94025 Attention: Richard A. Peers, Esq. Facsimile: (650) 324-0638 Notices to the Purchaser: Powerwave Technologies, Inc. 1801 E. St. Andrew Place Santa Ana, California 92705. Attention: Chief Executive Officer Facsimile: (714) 466-5801 with a copy to: Stradling Yocca Carlson & Rauth 660 Newport Center Drive, Suite 1600 Newport Beach, California 92660 Attention: Mark L. Skaist, Esq. Facsimile: (949) 725-4100",Notices,197.0,1253.0
1365,"For purposes of this Agreement, notices and all other communications provided for in this Agreement shall be in writing and shall be deemed to have been duly given when delivered personally or mailed by United States registered or certified mail, return receipt requested, postage prepaid, or by nationally recognized overnight delivery service providing for a signed return receipt, addressed to the Director at the home address set forth in the Funds' records and to the Funds at the address set forth on the first page of this Agreement, provided that all notices to the Funds shall be directed to the attention of the Presidents of the Funds or to such other address as either party may have furnished to the other in writing in accordance herewith, except that notice of change of address shall be effective only upon receipt.",Notices,139.0,831.0
1366,"All notices and other communications hereunder shall be in writing and shall be deemed to have been duly given if mailed or transmitted and confirmed by any standard form of telecommunication. Notices to the Underwriters shall be given to the Representatives c/o J.P. Morgan Securities LLC, 383 Madison Avenue, New York, New York 10179 (fax: (212) 622-8358); Attention: Equity Syndicate Desk; Deutsche Bank Securities Inc., 60 Wall Street, New York, New York 10005 (fax: (212) 797-9344); Attention: ECM Syndicate Desk, with a copy to General Counsel (fax: (212) 797-4564); and Merrill Lynch, Pierce, Fenner & Smith Incorporated, One Bryant Park, New York, New York 10036 (fax: (646) 855-3073); Attention: Syndicate Department with a copy to ECM Legal (fax: (212) 230-8730). Notices to the Company shall be given to it at CommScope Holding Company, Inc., 1100 Commscope Place, S.E., Hickory, North Carolina 28602 (fax: (828) 324-2520); Attention: General Counsel. Notices to Carlyle-CommScope Holdings, L.P. (“Carlyle”), as the Selling Stockholder, shall be given to it at The Carlyle Group, 1001 Pennsylvania Avenue, NW, Suite 220 South, Washington, District of Columbia 20004-2505, (fax: (202) 729-5266; Attention: R. Rainey Hoffman. Copies of any notice given to the Company or the Selling Stockholder shall be given to Latham & Watkins LLP at 555 Eleventh Street, NW, Suite 1000, Washington, District of Columbia, (fax: (202) 637-2201); Attention: Patrick H. Shannon.",Notices,224.0,1470.0
1367,"All notices, requests, claims, demands and other communications hereunder shall be in writing and shall be given (and shall be deemed to have been duly received if so given) by hand delivery, telegram, telex or telecopy, or by mail (registered or certified mail, postage prepaid, return receipt requested) or by any courier service, such as Federal Express, providing proof of delivery. All communications hereunder shall be delivered to the respective parties at the following addresses: If to Purchaser: Churchill Capital, Inc. 3100 Metropolitan Centre 333 South 7th Street Minneapolis, Minnesota 55402 (612) 673-6615 (telecopier) Attention: Kevin C. Dooley Copy to: Rogers & Wells LLP 200 Park Avenue New York, New York 10166 (212) 878-8375 (telecopier) Attention: Steven A. Hobbs Or to such other address as the Person to whom notice is given may have previously furnished to the others in writing in the manner set forth above.",Notices,147.0,932.0
1368,"Except as otherwise provided herein, whenever it is provided herein that any notice, demand, request, consent, approval, declaration or other communication shall or may be given to or served upon any of the parties by any other parties, or whenever any of the parties desires to give or serve upon any other parties any communication with respect to this Agreement, each such notice, demand, request, consent, approval, declaration or other communication shall be in writing and shall be deemed to have been validly served, given or delivered (a) upon the earlier of actual receipt and three (3) Business Days after deposit in the United States mail, registered or certified mail, return receipt requested, with proper postage prepaid, (b) upon transmission, when sent by telecopy or other similar facsimile transmission (with such telecopy or facsimile promptly confirmed by delivery of a copy by personal delivery or United States mail as otherwise provided in this Section 7.1), (c) one (1) Business Day after deposit with a reputable overnight courier with all charges prepaid or (d) when delivered, if hand-delivered by messenger, all of which shall be addressed to the party to be notified and sent to the address or facsimile number set forth below or to such other address (or facsimile number) as may be substituted by notice given as herein provided. The giving of any notice required hereunder may be waived in writing by the party entitled to receive such notice. Failure or delay in delivering copies of any notice, demand, request, consent, approval, declaration or other communication to any Person (other than the Purchaser) designated in any written communication provided hereunder to receive copies shall in no way adversely affect the effectiveness of such notice, demand, request, consent, approval, declaration or other communication. Notwithstanding the foregoing, whenever it is provided herein that a notice is to be given to any other party hereto by a specific time, such notice shall be effective only if actually received by such party prior to such time, and if such notice is received after such time or on a day other than a Business Day, such notice shall be effective only on the immediately succeeding Business Day.",Notices,363.0,2250.0
1369,"All communications, notices and consents provided for herein shall be in writing and be given in person or by means of facsimile or other means of wire transmission (with request for assurance of receipt in a manner typical with respect to communications of that type), by overnight courier or by mail, and shall become effective: (a) on delivery if given in person; (b) on the date of transmission if sent by facsimile or other means of wire transmission; (c) one (1) Business Day after delivery to the overnight service; or (d) four (4) Business Days after being deposited in the United States mails, with proper postage and documentation, for first-class registered or certified mail, prepaid, and shall be addressed as follows: if to Reliant, to: Reliant Pharmaceuticals, Inc. 110 Allen Road Liberty Corner, NJ 07938 Attn: Chief Executive Officer Facsimile: (908) 542-9405 with copies sent concurrently to: Reliant Pharmaceuticals, Inc. 110 Allen Road Liberty Corner, NJ 07938 Attn: Vice President of Legal Affairs and Secretary Facsimile: (908) 542-9405 Latham & Watkins LLP Sears Tower, Suite 5800 Chicago, IL 60606 Attention: Michael A. Pucker Facsimile: (312) 993-9767 if to Oscient or Parent to: Oscient Pharmaceuticals Corporation 1000 Winter Street, Suite 2200 Waltham, MA 02451 Attn: Chief Executive Officer Facsimile: (781) 893-9535 with copies sent concurrently to: Oscient Pharmaceuticals Corporation 1000 Winter Street, Suite 2200 Waltham, MA 02451 Attn: Legal Facsimile: (781) 398-2530 Ropes & Gray LLP One International Place Boston, MA 02110 Attn: Patrick O’Brien Facsimile: (617) 951-7050 provided, however, that if any Party shall have designated a different address by notice to the others, then to the last address so designated.",Notices,271.0,1752.0
1370,"For purposes of Section 14 of the Distribution Agreement, the Trust’s communications details are as set forth in Section E of the Omnibus Instrument.",Notices,24.0,149.0
1371,"All notices and other communications under this Agreement shall be in writing and shall be deemed given when (i) delivered personally or (ii) mailed by certified or registered mail, return receipt requested, or (iii) sent by FedEx or other nationally recognized express carrier, fee prepaid to the parties (and shall also be transmitted by facsimile to the Persons receiving copies thereof) at the following addresses (or to such other address as a party may have specified by notice given to the other party pursuant to this provision): If to Sellers: Tecumseh Products Company Fasco Industries, Inc. Motores Fasco de Mexico 100 E. Patterson Street Tecumseh, Michigan 49286 Attn: Daryl P. McDonald, Esq. Facsimile: (517) 423-8839 With a copy to: Miller, Canfield, Paddock & Stone, P.L.C. 840 West Long Lake Road, Suite 200 Troy, Michigan 48098 Attn: David D. Joswick, Esq. Facsimile: (248) 879-2001 If to Purchaser, to: Regal Beloit Corporation 200 State Street Beloit, Wisconsin 53511 Attn: General Counsel Facsimile: (608) 364-8818 With a copy to: Foley & Lardner LLP 777 E. Wisconsin Avenue Milwaukee, WI 53202 Attn: Benjamin F. Garmer, III Facsimile: (414) 297-4900",Notices,185.0,1170.0
1372,"All notices, requests, demands and other communications required to or permitted to be given to any Party under this Agreement shall be in writing, sent to the address or facsimile number set forth beneath its respective signature hereto, or to such other address or facsimile number as any such Party may designate as its new address for such purpose by notice given to the other Parties in accordance with the provisions of this Article 7, and shall be conclusively deemed to have been duly given (a) upon delivery if delivered by hand; (b) five (5) days after the same have been deposited in a United States post office via certified mail/return receipt requested; (c) the next Business Day after same have been deposited with a national overnight delivery service (e.g., Federal Express); or (d) when delivered by facsimile to the Parties.",Notices,141.0,843.0
1373,"All notices, demands, requests, consents, approvals, and other communications required or permitted hereunder shall be in writing and, unless otherwise specified herein, shall be (i) personally served, (ii) deposited in the mail, registered or certified, return receipt requested, postage prepaid, (iii) delivered by reputable air courier service with charges prepaid, or (iv) transmitted by hand delivery, telegram, or facsimile, addressed as set forth below or to such other address as such party shall have specified most recently by written notice. Any notice or other communication required or permitted to be given hereunder shall be deemed effective (a) upon hand delivery or delivery by facsimile, with accurate confirmation generated by the transmitting facsimile machine, at the address or number designated below (if delivered on a business day during normal business hours where such notice is to be received), or the first business day following such delivery (if delivered other than on a business day during normal business hours where such notice is to be received) or (b) on the second business day following the date of mailing by express courier service, fully prepaid, addressed to such address, or upon actual receipt of such mailing, whichever shall first occur. The addresses for such communications shall be as set forth in the heading of this Agreement with a copy by fax only to (which copy shall not constitute notice) to Naidich Wurman LLP, 111 Great Neck Road, Suite 214, Great Neck, NY 11021, Attn: Allison Naidich, facsimile: 516-466-3555, e-mail: allison@nwlaw.com. Each party shall provide notice to the other party of any change in address.",Notices,261.0,1674.0
1374,"All notices, copies, requests, consents, demands and other communications required hereunder shall be in writing and telecopied or delivered to the intended recipient at the ""Address for Notices"" specified beneath its name on the signature pages hereof or, as to either party, at such other address as shall be designated by such party in a notice hereunder to the other party. Except as otherwise provided in this Agreement, all such communications shall be deemed to have been duly given when transmitted by telecopier or personally delivered or, in the case of a mailed notice, upon receipt, in each case given or addressed as aforesaid.",Notices,104.0,640.0
1375,"All notices, demands, requests, consents, approvals, and other communications required or permitted hereunder shall be in writing and, unless otherwise specified herein, shall be (i) personally served, (ii) deposited in the mail, registered or certified, return receipt requested, postage prepaid, (iii) delivered by reputable air courier service with charges prepaid, or (iv) transmitted by hand delivery, telegram, or facsimile, addressed as set forth below or to such other address as such party shall have specified most recently by written notice. Any notice or other communication required or permitted to be given hereunder shall be deemed effective (a) upon hand delivery or delivery by facsimile, with accurate confirmation generated by the transmitting facsimile machine, at the address or number designated below (if delivered on a business day during normal business hours where such notice is to be received), or the first business day following such delivery (if delivered other than on a business day during normal business hours where such notice is to be received) or (b) on the second business day following the date of mailing by express courier service, fully prepaid, addressed to such address, or upon actual receipt of such mailing, whichever shall first occur. The addresses for such communications shall be:",Notices,204.0,1332.0
1376,"Any notices, consents, waivers, or other communications required or permitted to be given under the terms of this Agreement must be in writing and will be deemed to have been delivered (i) upon receipt, when delivered personally; (ii) upon confirmation of receipt, when sent by facsimile; (iii) three days after being sent by U.S. certified mail, return receipt requested, or (iv) one day after deposit with a nationally recognized overnight delivery service, in each case properly addressed to the party to receive the same. The addresses and facsimile numbers for such communications shall be: If to the Company, to: DMI Biosciences, Inc. 1999 North Fitzsimons Parkway, Suite 100 Aurora, CO 80045-7503 Attention: Bruce Miller, President Telephone: (303) 418-1000 Facsimile: (303) 418-1001 If to the Buyer: Cogenco International, Inc. Attention: David W. Brenman, President 6400 South Fiddler's Green Circle - Suite 1840 Greenwood Village, CO 80112 Telephone: (303) 221-3680 Facsimile: (303) 759-3553 With a copy to: Burns, Figa & Will, P.C. 6400 South Fiddler's Green Circle - Suite 1000 Greenwood Village, CO 80111 Attention: Herrick K. Lidstone, Jr., Esq. Telephone: (303) 796-2626 Facsimile: (303) 796-2777",Notices,184.0,1211.0
